Date and Time	Maximum Line Voltage	Minimum Line Voltage	Line Voltage	Output Voltage	Battery Voltage	Output Frequency	UPS Load	UPS Internal Temperature	Probe 1 Temperature	Probe 1 Humidity	Probe 2 Temperature	Probe 2 Humidity	Input Frequency	Battery Capacity
04/05/2020 12:08:07	N/A	N/A	228.9	230.4	13.7	50.0	26.0	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 12:28:07	N/A	N/A	230.4	233.2	13.7	50.0	26.6	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 12:48:07	N/A	N/A	230.4	230.4	13.7	50.0	27.3	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 13:08:07	N/A	N/A	227.5	227.5	13.7	50.0	28.6	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 13:28:07	N/A	N/A	228.9	230.4	13.7	50.0	40.3	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 13:48:08	N/A	N/A	233.2	233.2	13.7	50.0	26.0	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 14:08:08	N/A	N/A	228.9	230.4	13.7	50.0	32.5	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 14:28:08	N/A	N/A	233.2	233.2	13.7	49.75	27.3	2.0	N/A	N/A	N/A	N/A	49.75	100
04/05/2020 14:48:08	N/A	N/A	230.4	228.9	13.7	50.0	32.5	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 15:08:08	N/A	N/A	230.4	230.4	13.7	50.0	26.6	2.0	N/A	N/A	N/A	N/A	49.75	100
04/05/2020 15:28:08	N/A	N/A	230.4	230.4	13.7	50.0	26.0	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 16:28:21	N/A	N/A	217.4	217.4	13.7	50.0	28.6	2.0	N/A	N/A	N/A	N/A	50.0	95
04/05/2020 16:48:21	N/A	N/A	230.4	230.4	13.7	50.0	26.0	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 17:08:21	N/A	N/A	230.4	230.4	13.7	50.0	26.6	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 17:28:21	N/A	N/A	230.4	228.9	13.7	50.0	26.0	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 17:48:21	N/A	N/A	218.8	220.3	13.7	50.0	25.3	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 18:08:21	N/A	N/A	223.2	224.6	13.7	49.75	27.3	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 18:28:21	N/A	N/A	227.5	227.5	13.7	50.0	22.1	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 18:48:21	N/A	N/A	228.9	228.9	13.7	49.75	22.1	2.0	N/A	N/A	N/A	N/A	49.75	100
04/05/2020 19:08:21	N/A	N/A	230.4	230.4	13.7	49.75	21.4	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 19:28:21	N/A	N/A	230.4	230.4	13.7	50.0	22.1	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 19:48:21	N/A	N/A	230.4	228.9	13.7	49.75	22.1	2.0	N/A	N/A	N/A	N/A	49.75	100
04/05/2020 20:08:21	N/A	N/A	228.9	228.9	13.7	50.0	21.4	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 20:28:21	N/A	N/A	228.9	228.9	13.7	50.0	20.8	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 20:48:21	N/A	N/A	227.5	227.5	13.7	49.75	26.0	2.0	N/A	N/A	N/A	N/A	49.75	100
04/05/2020 21:08:21	N/A	N/A	220.3	220.3	13.7	50.0	26.0	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 21:28:21	N/A	N/A	228.9	228.9	13.7	50.0	26.0	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 21:48:21	N/A	N/A	218.8	218.8	13.7	50.0	29.9	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 22:08:21	N/A	N/A	227.5	227.5	13.7	50.0	28.6	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 22:28:21	N/A	N/A	228.9	228.9	13.7	50.0	26.6	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 22:48:21	N/A	N/A	230.4	230.4	13.7	49.75	26.6	2.0	N/A	N/A	N/A	N/A	49.75	100
04/05/2020 23:08:21	N/A	N/A	230.4	230.4	13.7	50.0	26.0	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 23:28:21	N/A	N/A	233.2	233.2	13.7	50.0	26.0	2.0	N/A	N/A	N/A	N/A	50.0	100
04/05/2020 23:48:21	N/A	N/A	233.2	233.2	13.7	50.0	26.6	2.0	N/A	N/A	N/A	N/A	50.0	100
